epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,36.7992,0.80616,1.58512,1.14977,0.74477,0.65801,0.76445,0.55886,1.67168,1.49403,1.38105,2.72183e-05,2.72183e-05,2.72183e-05
37,37.8001,0.86336,1.28183,1.33611,0.65586,0.69115,0.76414,0.52589,1.67845,1.56814,1.38801,2.75718e-05,2.75718e-05,2.75718e-05
38,38.7028,0.72752,1.05753,1.1023,0.65586,0.69115,0.76414,0.52589,1.67845,1.56814,1.38801,2.79018e-05,2.79018e-05,2.79018e-05
39,39.685,0.88402,1.96501,1.24548,0.63098,0.59178,0.65432,0.46716,1.69556,1.6353,1.38957,2.82082e-05,2.82082e-05,2.82082e-05
40,40.5544,0.73676,1.09476,1.08555,0.63098,0.59178,0.65432,0.46716,1.69556,1.6353,1.38957,2.84911e-05,2.84911e-05,2.84911e-05
41,41.5336,1.08883,1.97478,1.477,0.62913,0.59065,0.62851,0.42083,1.69349,1.7028,1.38917,2.87504e-05,2.87504e-05,2.87504e-05
42,42.4821,0.83491,1.18231,1.21804,0.62913,0.59065,0.62851,0.42083,1.69349,1.7028,1.38917,2.89861e-05,2.89861e-05,2.89861e-05
43,43.5015,0.7213,0.85061,1.04971,0.59178,0.50642,0.56489,0.34765,1.67827,1.73973,1.38947,2.91983e-05,2.91983e-05,2.91983e-05
44,44.5187,0.83617,1.1204,1.21529,0.59178,0.50642,0.56489,0.34765,1.67827,1.73973,1.38947,2.93869e-05,2.93869e-05,2.93869e-05
45,45.6453,0.64132,0.9831,1.17144,0.60399,0.5,0.55478,0.33802,1.68803,1.78501,1.39721,2.9552e-05,2.9552e-05,2.9552e-05
46,46.635,0.70665,0.92933,1.02863,0.60399,0.5,0.55478,0.33802,1.68803,1.78501,1.39721,2.96935e-05,2.96935e-05,2.96935e-05
47,49.3128,0.75891,0.95176,1.06262,0.61583,0.5,0.5319,0.31492,1.70377,1.83628,1.40952,2.98114e-05,2.98114e-05,2.98114e-05
48,54.2349,0.71849,0.83156,1.15721,0.61583,0.5,0.5319,0.31492,1.70377,1.83628,1.40952,2.99058e-05,2.99058e-05,2.99058e-05
49,59.4275,0.99517,1.20622,1.40571,0.79197,0.5,0.53332,0.31303,1.71774,1.86601,1.42046,2.99766e-05,2.99766e-05,2.99766e-05
50,65.1154,0.94316,1.58477,1.35761,0.79197,0.5,0.53332,0.31303,1.71774,1.86601,1.42046,3.00238e-05,3.00238e-05,3.00238e-05
51,71.5646,0.67378,0.8948,1.11648,0.80459,0.49935,0.51504,0.30644,1.71517,1.88746,1.42362,3.00475e-05,3.00475e-05,3.00475e-05
52,77.5765,0.85093,1.786,1.4155,0.80459,0.49935,0.51504,0.30644,1.71517,1.88746,1.42362,3.00476e-05,3.00476e-05,3.00476e-05
53,83.2116,0.87882,0.84489,1.28746,0.80459,0.49935,0.51504,0.30644,1.71517,1.88746,1.42362,3.00242e-05,3.00242e-05,3.00242e-05
54,89.164,0.83482,0.89338,1.17718,0.81419,0.49892,0.52206,0.29849,1.71023,1.94671,1.43236,2.99772e-05,2.99772e-05,2.99772e-05
55,95.6779,0.77928,0.73169,1.18912,0.81419,0.49892,0.52206,0.29849,1.71023,1.94671,1.43236,2.99066e-05,2.99066e-05,2.99066e-05
56,101.729,0.85875,1.08996,1.28629,0.81419,0.49892,0.52206,0.29849,1.71023,1.94671,1.43236,2.98125e-05,2.98125e-05,2.98125e-05
57,107.21,0.72027,0.81196,1.12098,0.81352,0.41598,0.52614,0.29805,1.71289,1.96173,1.43245,2.96948e-05,2.96948e-05,2.96948e-05
58,113.154,0.70053,0.8824,1.09717,0.81352,0.41598,0.52614,0.29805,1.71289,1.96173,1.43245,2.95535e-05,2.95535e-05,2.95535e-05
59,119.624,0.64262,0.80454,1.08629,0.81352,0.41598,0.52614,0.29805,1.71289,1.96173,1.43245,2.93887e-05,2.93887e-05,2.93887e-05
60,125.455,0.48193,0.84065,0.94393,0.83185,0.41662,0.52398,0.30381,1.72719,1.98127,1.43391,2.92003e-05,2.92003e-05,2.92003e-05
61,130.999,0.79421,0.81969,1.27063,0.83185,0.41662,0.52398,0.30381,1.72719,1.98127,1.43391,2.89884e-05,2.89884e-05,2.89884e-05
62,137.285,0.86481,0.98013,1.2879,0.83185,0.41662,0.52398,0.30381,1.72719,1.98127,1.43391,2.87529e-05,2.87529e-05,2.87529e-05
63,142.99,0.897,0.73347,1.3807,0.83083,0.41577,0.52938,0.28772,1.71682,2.00849,1.43001,2.84938e-05,2.84938e-05,2.84938e-05
64,147.917,0.71792,1.04377,1.1293,0.83083,0.41577,0.52938,0.28772,1.71682,2.00849,1.43001,2.82112e-05,2.82112e-05,2.82112e-05
65,152.965,0.58641,0.6858,1.07812,0.83083,0.41577,0.52938,0.28772,1.71682,2.00849,1.43001,2.7905e-05,2.7905e-05,2.7905e-05
66,154.092,0.96103,1.21817,1.23873,0.8371,0.4153,0.53014,0.28803,1.73472,2.02168,1.44007,2.75753e-05,2.75753e-05,2.75753e-05
67,155.04,0.87687,1.24293,1.25783,0.8371,0.4153,0.53014,0.28803,1.73472,2.02168,1.44007,2.7222e-05,2.7222e-05,2.7222e-05
68,155.94,0.94411,1.34211,1.4121,0.8371,0.4153,0.53014,0.28803,1.73472,2.02168,1.44007,2.68451e-05,2.68451e-05,2.68451e-05
69,156.927,0.6437,0.65806,1.0288,0.83734,0.49822,0.53146,0.28781,1.74993,2.04728,1.44361,2.64447e-05,2.64447e-05,2.64447e-05
70,157.936,1.15039,1.1459,1.48693,0.83734,0.49822,0.53146,0.28781,1.74993,2.04728,1.44361,2.60207e-05,2.60207e-05,2.60207e-05
71,158.88,0.76344,0.63661,1.17177,0.83734,0.49822,0.53146,0.28781,1.74993,2.04728,1.44361,2.55731e-05,2.55731e-05,2.55731e-05
72,160.06,0.68586,1.03349,1.10519,0.85723,0.40986,0.4649,0.29832,1.71487,2.09118,1.44205,2.5102e-05,2.5102e-05,2.5102e-05
73,161.017,0.5973,0.63528,0.95732,0.85723,0.40986,0.4649,0.29832,1.71487,2.09118,1.44205,2.46073e-05,2.46073e-05,2.46073e-05
74,161.973,0.75548,0.87522,1.23114,0.85723,0.40986,0.4649,0.29832,1.71487,2.09118,1.44205,2.40891e-05,2.40891e-05,2.40891e-05
75,162.96,0.87003,0.85807,1.38661,0.8539,0.40884,0.46384,0.2977,1.73977,2.12674,1.44616,2.35472e-05,2.35472e-05,2.35472e-05
76,163.907,0.61818,0.73586,1.08235,0.8539,0.40884,0.46384,0.2977,1.73977,2.12674,1.44616,2.29819e-05,2.29819e-05,2.29819e-05
77,165.009,0.79628,1.01407,1.21246,0.8539,0.40884,0.46384,0.2977,1.73977,2.12674,1.44616,2.23929e-05,2.23929e-05,2.23929e-05
78,166.079,0.74877,0.84036,1.15112,0.85361,0.40918,0.42632,0.28028,1.76738,2.20086,1.48115,2.17805e-05,2.17805e-05,2.17805e-05
79,167.084,0.78474,0.77028,1.15707,0.85361,0.40918,0.42632,0.28028,1.76738,2.20086,1.48115,2.11444e-05,2.11444e-05,2.11444e-05
80,168.102,0.87862,0.74492,1.32812,0.85361,0.40918,0.42632,0.28028,1.76738,2.20086,1.48115,2.04848e-05,2.04848e-05,2.04848e-05
81,169.155,0.66421,0.57979,1.1608,0.85578,0.40891,0.42451,0.27581,1.77586,2.26508,1.51577,1.98016e-05,1.98016e-05,1.98016e-05
82,170.167,0.65902,0.65503,1.16745,0.85578,0.40891,0.42451,0.27581,1.77586,2.26508,1.51577,1.90949e-05,1.90949e-05,1.90949e-05
83,171.133,0.6065,0.96152,1.0607,0.85578,0.40891,0.42451,0.27581,1.77586,2.26508,1.51577,1.83646e-05,1.83646e-05,1.83646e-05
84,172.15,0.62405,0.70716,0.9831,0.85814,0.40932,0.42424,0.27864,1.79291,2.24724,1.51921,1.76107e-05,1.76107e-05,1.76107e-05
85,173.142,0.58662,0.60015,1.07569,0.85814,0.40932,0.42424,0.27864,1.79291,2.24724,1.51921,1.68333e-05,1.68333e-05,1.68333e-05
86,174.215,0.82182,0.99968,1.34426,0.85814,0.40932,0.42424,0.27864,1.79291,2.24724,1.51921,1.60323e-05,1.60323e-05,1.60323e-05
87,175.225,0.53012,0.7122,1.07977,0.85814,0.40932,0.42424,0.27864,1.79291,2.24724,1.51921,1.52077e-05,1.52077e-05,1.52077e-05
88,176.276,0.68758,0.95685,1.14446,0.86338,0.41012,0.42342,0.27742,1.84725,2.24921,1.53906,1.43596e-05,1.43596e-05,1.43596e-05
89,177.275,0.5263,0.63986,1.05387,0.86338,0.41012,0.42342,0.27742,1.84725,2.24921,1.53906,1.34879e-05,1.34879e-05,1.34879e-05
90,178.215,0.59544,0.549,1.00935,0.86338,0.41012,0.42342,0.27742,1.84725,2.24921,1.53906,1.25927e-05,1.25927e-05,1.25927e-05
91,179.203,0.5474,0.52103,1.02118,0.86338,0.41012,0.42342,0.27742,1.84725,2.24921,1.53906,1.16739e-05,1.16739e-05,1.16739e-05
92,180.294,0.55029,0.51715,0.86931,0.86242,0.40964,0.42351,0.27625,1.88785,2.2177,1.55183,1.07315e-05,1.07315e-05,1.07315e-05
93,181.289,0.60311,0.6087,1.07992,0.86242,0.40964,0.42351,0.27625,1.88785,2.2177,1.55183,9.76562e-06,9.76562e-06,9.76562e-06
94,182.337,0.4373,0.46857,0.89338,0.86242,0.40964,0.42351,0.27625,1.88785,2.2177,1.55183,8.77613e-06,8.77613e-06,8.77613e-06
95,183.355,0.4639,0.43372,0.90603,0.86242,0.40964,0.42351,0.27625,1.88785,2.2177,1.55183,7.76308e-06,7.76308e-06,7.76308e-06
96,184.422,0.58488,0.46398,0.9846,0.83173,0.49913,0.51423,0.2949,1.87543,2.05633,1.51746,6.72648e-06,6.72648e-06,6.72648e-06
97,185.443,0.56378,0.54709,0.90424,0.83173,0.49913,0.51423,0.2949,1.87543,2.05633,1.51746,5.6663e-06,5.6663e-06,5.6663e-06
98,186.431,0.60104,0.56683,0.98748,0.83173,0.49913,0.51423,0.2949,1.87543,2.05633,1.51746,4.58257e-06,4.58257e-06,4.58257e-06
99,187.572,0.61033,0.53173,1.04776,0.83173,0.49913,0.51423,0.2949,1.87543,2.05633,1.51746,3.47528e-06,3.47528e-06,3.47528e-06
100,188.618,0.41912,0.45571,0.9528,0.64192,0.51301,0.54265,0.29024,1.81382,2.10197,1.52348,2.34442e-06,2.34442e-06,2.34442e-06
